WKT,Name,Website,Category,Image #1,Image #2,Image #3,Description,Webcam,UV,SLAG,Common Finds,Rare Finds,Restroom,Off-Road,Limited Parking,Park Pass,Handicap,Dog Friendly,Video #1,Video #2,Video #3
POINT (-88.9256858 47.0399314),Agate Beach Park,https://www.visitkeweenaw.com/listing/agate-beach-park/390/,Beach,"http://cdn.michiganrockhounds.com/files/Map%20Images/Agate%20Beach/CFB8ED60-DE89-4511-B63C-DC2362068564%20-%20Susan%20Obrien.jpeg,Susan O’Brien","http://cdn.michiganrockhounds.com/files/Map%20Images/Agate%20Beach/CF09734C-DBCC-485A-B2CB-F11E0A5BDB2A%20-%20Susan%20Obrien.jpeg,Susan O’Brien","http://cdn.michiganrockhounds.com/files/Map%20Images/Agate%20Beach/82D5F373-DEDD-43E0-B0EC-2269AC91C28C%20-%20Susan%20Obrien.jpeg,Susan O’Brien","Agate Beach in Toivola is easy access. Unused cement boat launch is used to walk down to the beach or climb down a small sand hill.  Bathroom is next to a small campground which is across from the beach. Clean area. We just used the beach area June 4, 2022 and it had a plentiful variety of rocks. We found agates. Parking area is a decent size.  Dogs are welcome on the beach. Bad cell phone reception in the area. Closes at 11pm",,Yes,No,"Unakite, Chert, Quartz,","Lake Superior Agate, Yooperlite",Yes,No,No,No,Yes,Yes,,,
POINT (-87.8199904 42.6129956),Alford Park,https://www.visitkenosha.com/listing/alford-park-and-beach/226/,Beach,,,,,,No,No,,,,,,,,,,,
POINT (-85.37865850000001 45.17907400000001),Antrim Creek Natural Area,https://www.gtrlc.org/recreation-events/preserve/antrim-creek-natural-area/,Beach,,,,"A remote location on Grand Traverse Bay with hiking trails, and a long beach. Some trees provide shade at the back of the beach.",,No,No,"Petoskey Stone, Charlevoix Stone, Horn Coral, Fossil Soup","Chain Coral, Beach Glass",Yes,No,Yes,No,No,Yes,,,
POINT (-85.36042239999999 45.1109658),Barnes Park Campground,https://www.antrimcounty.org/departments___services_/parks___recreation/parks/barnes_park_campground/index.php,Beach,,,,,,No,No,,,,,,,,,,,
POINT (-86.70557160000001 46.4417975),Bay Furnace Ruins,https://www.fs.usda.gov/recarea/hiawatha/recarea/?recid=13325,Beach,,,,,,Yes,Yes,"Slag, Smelted Iron, Hematite, Banded Iron Formation, Jaspillite","Yooperlite, Lake Superior Agate",,,,,,,,,
POINT (-84.96473804120588 45.376268508428126),Bayfront Park (West),https://www.petoskey.us/departments/parks_and_recreation/bayfront_park_west.php,Beach,"http://cdn.michiganrockhounds.com/files/Map%20Images/Bayfront%20Park/20220608_151945.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Bayfront%20Park/20220608_151940.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Bayfront%20Park/20220608_151942.jpg,Cody Wiedenbein",,,No,Yes,"Petoskey Stone, Charleviox Stone, Horn Coral, Brachiopod","Slag,",No,No,No,No,Yes,No,,,
POINT (-87.6292715 47.4153582),Manitou Island,https://keweenawlandtrust.org/protected-lands/manitou-island-light-station-preserve,Beach,,,,,,Yes,No,,,,,,,,,,,
POINT (-90.0470577 46.6644344),Black River Harbor,https://www.michigan.org/property/black-river-harbor-recreation-area,Beach,,,,,,Yes,No,,,,,,,,,,,
POINT (-83.4131320078579 45.24617194735392),Besser Natural Area,https://www.visitalpena.com/member-detail/besser-natural-area-ghost-village-of-bell/,Beach,"http://cdn.michiganrockhounds.com/files/Map%20Images/Besser%20Natural%20Area/20220608_104109.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Besser%20Natural%20Area/20220608_104536.jpg,Cody Wiedenbein","http://cdn.michiganrockhounds.com/files/Map%20Images/Besser%20Natural%20Area/20220608_104533.jpg,Cody Wiedenbein",,,No,No,,,,,,,,,,,
POINT (-82.4938568 43.140854),Burtchville Twp. Park,http://www.bluewaysofstclair.org/recreation.asp?ait=av&aid=25,Beach,,,,,,No,No,,,,,,,,,,,
